,city,icao,lat,lon,name,state,LL,JA
94,Youngstown,K4G4,40.9617996216,-80.6772994995,Youngstown Elser Metro Airport,Ohio,4.93,2.94
95,Woodsfield,K4G5,39.7789993286,-81.1027984619,Monroe County Airport,Ohio,4.83,4.00
96,Mount Vernon,K4I3,40.32870102,-82.52380371,Knox County Airport,Ohio,4.22,4.21
97,Corning,K4M9,36.4042015076,-90.6479034424,Corning Municipal Airport,Arkansas,3.54,3.50
98,Idabel,K4O4,33.9094009399,-94.8593978882,Mc Curtain County Regional Airport,Oklahoma,3.99,2.32
99,Walsenburg,K4V1,37.69660187,-104.7839966,Spanish Peaks Airfield,Colorado,3.34,2.56
100,Fort Worth,K50F,32.5817985535,-97.5907974243,Bourland Field,Texas,3.63,3.41
101,Kentland,K50I,40.7587013245,-87.4281997681,Kentland Municipal Airport,Indiana,3.52,2.78
102,Madisonville,K51R,30.9127998352,-95.952003479,Madisonville Municipal Airport,Texas,3.93,3.86
103,Defuniak Springs,K54J,30.731300354,-86.1516036987,Defuniak Springs Airport,Florida,4.25,3.90
104,Baytown,K54T,29.7616996765,-94.846496582,RWJ Airpark,Texas,3.95,3.25
105,Norwalk,K5A1,41.2448005676,-82.5512008667,Norwalk Huron County Airport,Ohio,4.80,N/A
106,Saratoga Springs,K5B2,43.05130005,-73.86119843,Saratoga County Airport,New-York,4.17,3.82
107,San Antonio,K5C1,29.7238998413,-98.6946029663,Boerne Stage Field,Texas,3.99,3.25
108,Bluffton,K5G7,40.8853988647,-83.868598938,Bluffton Airport,Ohio,4.65,3.80
109,Marion,K5M9,37.33430099,-88.11509705,Marion Crittenden County Airport,Kentucky,3.49,N/A
110,Eagle Pass,K5T9,28.85720062,-100.512001,Maverick County Memorial International Airport,Texas,5.40,4.40
111,Raeford,K5W4,35.0199012756,-79.1910018921,P K Airpark,North-Carolina,6.00,5.50
112,Navasota,K60R,30.3719005585,-96.1132965088,Navasota Municipal Airport,Texas,5.34,3.70
113,Fort Atkinson,K61C,42.9631996155,-88.8175964355,Fort Atkinson Municipal Airport,Wisconsin,4.29,3.38
114,Warren,K62D,41.266998291,-80.9273986816,Warren Airport,Ohio,5.15,3.72
115,Bonners Ferry,K65S,48.72579956,-116.2949982,Boundary County Airport,Idaho,3.59,2.99
116,Columbus,K66R,29.6410999298,-96.5158004761,Robert R Wells Jr Airport,Texas,3.25,3.00
117,Mesquite,K67L,36.83499908,-114.0550003,Mesquite Airport,Nevada,3.82,3.79
118,Griffin,K6A2,33.2270011902,-84.2749023438,Griffin Spalding County Airport,Georgia,3.40,3.20
119,Mountain City,K6A4,36.4178009033,-81.8251037598,Johnson County Airport,Tennessee,5.09,4.79
120,Greenville,K6D6,43.1422996521,-85.2537994385,Greenville Municipal Airport,Michigan,3.99,4.00
121,Titusville,K6G1,41.6087989807,-79.7413024902,Titusville Airport,Pennsylvania,4.39,3.75
122,Barnesville,K6G5,40.0023994446,-81.1918029785,Barnesville Bradfield Airport,Ohio,4.70,4.33
123,Springfield,K6I2,37.6334991455,-85.2417984009,Lebanon Springfield Airport,Kentucky,3.75,3.25
124,Fairview,K6K4,36.2901000977,-98.4757995605,Fairview Municipal Airport,Oklahoma,4.50,3.65
125,Big Timber,K6S0,45.8064002991,-109.9810028076,Big Timber Airport,Montana,5.00,4.50
126,Florence,K6S2,43.98279953,-124.111000061,Florence Municipal Airport,Oregon,4.75,3.85
127,Hamilton,K6S5,46.251499176,-114.1259994507,Ravalli County Airport,Montana,4.49,3.80
128,Ozark,K71J,31.4311008453,-85.6192016602,Blackwell Field,Alabama,3.26,3.25
129,Anacortes,K74S,48.4990005493,-122.6620025635,Anacortes Airport,Washington,4.30,3.31
130,Marlette,K77G,43.3117980957,-83.0908966064,Marlette Airport,Michigan,4.67,3.84
131,Creswell,K77S,43.9308013916,-123.0070037842,Hobby Field,Oregon,4.95,3.95
132,Andalusia/Opp,K79J,31.3087997437,-86.3937988281,South Alabama Regional At Bill Benton Field Airport,Alabama,2.99,2.29
133,Spruce Pine,K7A8,35.9445991516,-81.9956970215,Avery County Morrison Field,North-Carolina,4.50,4.50
134,Brockport,K7G0,43.18109894,-77.915802,Ledgedale Airpark,New-York,3.99,N/A
135,Mc Gehee,K7M1,33.620201109999996,-91.3647995,Mc Gehee Municipal Airport,Arkansas,5.42,3.50
136,Mount Ida,K7M3,34.52930069,-93.52709961,Bearce Airport,Arkansas,3.63,2.94
137,Corning,K7N1,42.17589951,-77.11219788,Corning Painted Post Airport,New-York,4.99,3.99
138,Ronan,K7S0,47.567199707,-114.1009979248,Ronan Airport,Montana,3.75,4.21
139,Twin Bridges,K7S1,45.5337982178,-112.3030014038,Twin Bridges Airport,Montana,4.39,4.10
140,Midland,K7T7,31.858499527,-102.0739974976,Skywest Inc Airport,Texas,3.71,2.39
141,Napoleon,K7W5,41.3742980957,-84.0679016113,Henry County Airport,Ohio,4.26,4.08
142,New Lisbon,K82C,43.8386993408,-90.1377029419,Mauston New Lisbon Union Airport,Wisconsin,4.15,3.75
143,Pensacola,K82J,30.3987998962,-87.3486022949,Ferguson Airport,Florida,3.80,3.20
144,Albertville,K8A0,34.22909927,-86.25579834,Albertville Regional Thomas J Brumlik Field,Alabama,4.45,4.10
145,Rangeley,K8B0,44.9919014,-70.66459656,Steven A. Bean Municipal Airport,Maine,5.50,4.95
146,Corry,K8G2,41.9076004028,-79.6410980225,Corry Lawrence Airport,Pennsylvania,5.79,4.49
147,Polson,K8S1,47.695400238,-114.1849975586,Polson Airport,Montana,3.75,3.75
148,George West,K8T6,28.3628005981,-98.1165008545,Live Oak County Airport,Texas,N/A,3.65
149,Parkston,K8V3,43.3791999817,-97.9711990356,Parkston Municipal Airport,South-Dakota,4.60,4.10
150,Onida,K98D,44.7008018494,-100.1009979248,Onida Municipal Airport,South-Dakota,5.15,3.40
151,Gregory,K9D1,43.22169876,-99.40329742,Gregory Municipal Flynn Field,South-Dakota,5.20,3.75
152,Myerstown,K9D4,40.35179901,-76.32959747,Deck Airport,Pennsylvania,4.95,4.10
153,Hastings,K9D9,42.6636009216,-85.3462982178,Hastings Airport,Michigan,N/A,3.05
154,Oak Grove,K9M6,32.8492012024,-91.4039001465,Kelly Airport,Louisiana,3.50,3.25
155,Scobey,K9S2,48.8077011108,-105.4390029907,Scobey Airport,Montana,5.30,3.83
156,Chamberlain,K9V9,43.7661018372,-99.3212966919,Chamberlain Municipal Airport,South-Dakota,5.16,3.69
157,Killdeer,K9Y1,47.3927993774,-102.7710037231,Weydahl Field,North-Dakota,4.00,3.50
158,Marion,KA08,32.5124015808,-87.385597229,Vaiden Field,Alabama,4.23,3.50
159,Apalachicola,KAAF,29.72750092,-85.02749634,Apalachicola Regional Airport,Florida,4.79,4.89
160,Wichita,KAAO,37.74760056,-97.22109985,Colonel James Jabara Airport,Kansas,3.75,2.84
161,Campbellsville,KAAS,37.3582992554,-85.3094024658,Taylor County Airport,Kentucky,4.50,3.75
162,Alturas,KAAT,41.48300171,-120.5650024,Alturas Municipal Airport,California,N/A,4.74
163,Allentown,KABE,40.6520996094,-75.4408035278,Lehigh Valley International Airport,Pennsylvania,5.17,3.68
164,Abilene,KABI,32.4113006592,-99.6819000244,Abilene Regional Airport,Texas,3.99,4.49
165,Albuquerque,KABQ,35.0401992798,-106.6090011597,Albuquerque International Sunport Airport,New-Mexico,4.49,3.99
166,Aberdeen,KABR,45.4491004944,-98.4217987061,Aberdeen Regional Airport,South-Dakota,3.50,3.15
167,Albany,KABY,31.5354995728,-84.1945037842,Southwest Georgia Regional Airport,Georgia,3.70,3.05
168,Bellaire,KACB,44.9886016846,-85.1984024048,Antrim County Airport,Michigan,4.75,5.02
169,Americus,KACJ,32.1108017,-84.18890381,Souther Field,Georgia,3.85,3.30
170,Nantucket,KACK,41.25310135,-70.06020355,Nantucket Memorial Airport,Massachusetts,5.28,4.29
171,Waseca,KACQ,44.0735015869,-93.5529022217,Waseca Municipal Airport,Minnesota,N/A,3.39
172,Arcata/Eureka,KACV,40.978099823,-124.1090011597,Arcata Airport,California,N/A,4.76
173,Atlantic City,KACY,39.4575996399,-74.5772018433,Atlantic City International Airport,New-Jersey,5.83,6.04
174,Wallace,KACZ,34.7178993225,-78.0036010742,Henderson Field,North-Carolina,N/A,4.30
175,Adrian,KADG,41.8676986694,-84.0773010254,Lenawee County Airport,Michigan,4.99,3.89
176,Ada,KADH,34.8042984009,-96.6713027954,Ada Municipal Airport,Oklahoma,4.30,3.75
177,Ardmore,KADM,34.30301,-97.0196342,Ardmore Municipal Airport,Oklahoma,N/A,2.29
178,Dallas,KADS,32.9686012268,-96.8364028931,Addison Airport,Texas,4.19,3.74
179,Audubon,KADU,41.7014007568,-94.920501709,Audubon County Airport,Iowa,4.39,3.49
180,Albuquerque,KAEG,35.145198822,-106.7949981689,Double Eagle II Airport,New-Mexico,4.49,3.99
181,Buena Vista,KAEJ,38.814201355,-106.1210021973,Central Colorado Regional Airport,Colorado,N/A,5.20
182,Alexandria,KAEX,31.3274002075,-92.5497970581,Alexandria International Airport,Louisiana,3.15,3.75
183,Washington,KAFJ,40.1365013123,-80.2901992798,Washington County Airport,Pennsylvania,5.08,3.61
184,Nebraska City,KAFK,40.60689926,-95.86569977,Nebraska City Municipal Airport,Nebraska,N/A,3.25
185,Afton,KAFO,42.7112007141,-110.942001343,Afton Municipal Airport,Wyoming,4.90,3.90
186,Wadesboro,KAFP,35.0205993652,-80.0771026611,Anson County Airport,North-Carolina,3.44,3.29
187,Fort Worth,KAFW,32.9875984192,-97.3188018799,Fort Worth Alliance Airport,Texas,4.19,4.18
188,Pittsburgh,KAGC,40.3544006348,-79.9301986694,Allegheny County Airport,Pennsylvania,4.10,2.03
189,Augusta,KAGS,33.3698997498,-81.9645004272,Augusta Regional At Bush Field,Georgia,4.10,3.40
190,Amery,KAHH,45.2811012268,-92.3753967285,Amery Municipal Airport,Wisconsin,4.29,3.49
191,Athens,KAHN,33.948600769,-83.3263015747,Athens Ben Epps Airport,Georgia,4.23,4.50
192,Wahoo,KAHQ,41.2412986755,-96.59400177,Wahoo Municipal Airport,Nebraska,4.25,2.99
193,Alliance,KAIA,42.0531997681,-102.804000854,Alliance Municipal Airport,Nebraska,4.20,3.20
194,Aiken,KAIK,33.6493988037,-81.6849975586,Aiken Municipal Airport,South-Carolina,4.10,3.62
195,Atlantic,KAIO,41.40729904,-95.04689789,Atlantic Municipal Airport,Iowa,3.03,1.86
196,Aitkin,KAIT,46.5484008789,-93.6768035889,Aitkin Municipal Steve Kurtz Field,Minnesota,3.79,4.69
197,Kaiser Lake Ozark,KAIZ,38.0960006714,-92.5494995117,Lee C Fine Memorial Airport,Missouri,4.15,3.65
198,Cornelia,KAJR,34.49990082,-83.55670166,Habersham County Airport,Georgia,4.60,4.49
199,Delta,KAJZ,38.7863998413,-108.0640029907,Blake Field,Colorado,4.15,3.35
200,Gastonia,KAKH,35.2025985718,-81.1499023438,Gastonia Municipal Airport,North-Carolina,4.53,3.16
201,Akron,KAKO,40.1755981445,-103.222000122,Colorado Plains Regional Airport,Colorado,4.69,3.79
202,Akron,KAKR,41.0374984741,-81.4669036865,Akron Fulton International Airport,Ohio,5.53,4.65
203,Albany,KALB,42.748298645,-73.8016967773,Albany International Airport,New-York,4.17,3.82
204,Alice,KALI,27.7409000397,-98.0269012451,Alice International Airport,Texas,4.25,3.75
205,Alamogordo,KALM,32.8399009705,-105.9909973145,Alamogordo White Sands Regional Airport,New-Mexico,5.25,3.55
206,Alton/St Louis,KALN,38.8903007507,-90.0459976196,St Louis Regional Airport,Illinois,4.70,4.32
207,Waterloo,KALO,42.5570983887,-92.4002990723,Waterloo Regional Airport,Iowa,3.99,3.99
208,Alamosa,KALS,37.4348983765,-105.866996765,San Luis Valley Regional Bergman Field,Colorado,4.25,4.18
209,Walla Walla,KALW,46.09489822,-118.288002,Walla Walla Regional Airport,Washington,N/A,4.28
210,Amarillo,KAMA,35.2193984985,-101.7060012817,Rick Husband Amarillo International Airport,Texas,5.76,4.35
211,Alma,KAMG,31.5361003876,-82.5065994263,Bacon County Airport,Georgia,3.90,3.70
212,Ames,KAMW,41.99200058,-93.62180328,Ames Municipal Airport,Iowa,3.75,3.00
213,Anniston,KANB,33.58819962,-85.85810089,Anniston Metropolitan Airport,Alabama,3.79,3.24
214,Anderson,KAND,34.4945983887,-82.7093963623,Anderson Regional Airport,South-Carolina,4.68,4.13
215,Minneapolis,KANE,45.14500046,-93.21140289,Anoka County-Blaine Arpt(Janes Field) Airport,Minnesota,4.14,4.25
216,Salida,KANK,38.5382995605,-106.0490036011,Harriet Alexander Field,Colorado,4.75,4.62
217,Angola,KANQ,41.6397018433,-85.0835037231,Tri State Steuben County Airport,Indiana,3.90,2.90
